date,temperature(℃),rainfall(mm),daylight hours(h),wind speed(m/s),vapor pressure(hPa),地名
2016/2/26,6.8,21,32.9,2.6,5.8,大阪
2016/3/4,8.2,3,54.7,2.1,6.4,大阪
2016/3/11,12.6,44.5,26,2.6,9.8,大阪
2016/3/18,9.6,37,42.9,2.1,6.9,大阪
2016/3/25,10.7,9.5,53.3,3,6.7,大阪
2016/4/1,12.4,4,46.6,2.1,8.5,大阪
2016/4/8,16.4,72.5,20.5,2.2,12.6,大阪
2016/4/15,15.5,15.5,47.8,2.4,10.6,大阪
2016/4/22,16.9,27,50,2.5,11.6,大阪
2016/4/29,17.9,8.5,37,2.6,13.1,大阪
2016/5/6,19.6,8.5,57.8,2.6,11.6,大阪
2016/5/13,19.2,47.5,39.8,2.2,15.2,大阪
2016/5/20,21.2,48,72.1,2.4,14.3,大阪
2016/5/27,23.7,21.5,57,2.2,16.5,大阪
2016/6/3,21.3,11,50.1,2.8,15.7,大阪
2016/6/10,22.4,44.5,39.3,2.6,18.8,大阪
2016/6/17,24.2,59,23,2.4,22.2,大阪
2016/6/24,24.5,139.5,32,2.2,23.1,大阪
2016/7/1,24,82,28.2,2.1,23.1,大阪
2016/7/8,29.2,4.5,65,2.4,27.5,大阪
2016/7/15,27.2,45.5,21.6,2.1,28,大阪
2016/7/22,27.9,2.5,60.2,2.7,23.6,大阪
2016/7/29,27.6,13.5,35.8,2.1,25.8,大阪
2016/8/5,29.9,0,66.5,2.2,26.4,大阪
2016/8/12,30.1,0,78.1,2.5,24.7,大阪
2016/8/19,30,10.5,51.8,2.5,28.4,大阪
2016/8/26,30.5,2.5,57.4,2.9,26.7,大阪
2016/9/2,26.7,148.5,52.8,3,21.3,大阪
2016/9/9,27.7,23.5,35.2,2.3,25.8,大阪
2016/9/16,25.9,14.5,26.5,2.3,23.3,大阪
2016/9/23,24,101.5,6.2,2.6,24.4,大阪
2016/9/30,24.8,44,16.9,2.2,24.3,大阪
2016/10/7,24.3,11,28.1,2.2,22.6,大阪
2016/10/14,19.9,13,34.5,2.8,14.7,大阪
2016/10/21,21.4,11.5,41.8,2.8,16.5,大阪
2016/10/28,17.8,4.5,25.4,2.7,14.1,大阪
2016/11/4,14.8,8,51.8,2,10,大阪
2016/11/11,12.7,12.5,37,2.1,10.1,大阪
2016/11/18,14.5,9,44.8,2.1,11.2,大阪
2016/11/25,14,7,19.5,2.1,12.5,大阪
2016/12/2,11.6,34.5,30.7,2.1,9.3,大阪
2016/12/9,11.5,12,47.5,2,9,大阪
2016/12/16,7.3,36.5,28.1,2.5,6.9,大阪
2016/12/23,10.5,29,35.5,2,9,大阪
2016/12/30,7.6,26.5,25.7,2.2,6.8,大阪
2017/1/1,7.3,26.5,30.1,2.1,6.8,大阪
2017/1/8,7.7,22,39.1,2.3,6.8,大阪
2017/1/15,6.5,0,43.5,3.2,5.6,大阪
2017/1/22,5.1,3.5,32.9,2.2,5.5,大阪
2017/1/29,5.1,5,36.8,1.9,5.4,大阪
2017/2/5,6.6,18,28.7,2.2,6.5,大阪
2017/2/12,4.6,6.5,29.5,2.8,5.1,大阪
2017/2/19,6.7,5.5,37.4,1.9,6.3,大阪
2017/2/26,7.2,18,35.5,2.5,6.3,大阪
2017/3/5,8.3,1,50.9,2.5,6.3,大阪
2017/3/12,7.7,1.5,41,2.6,5.7,大阪
2017/3/19,9.1,0,42.3,2.4,6.2,大阪
2017/3/26,9.9,26.5,37.2,2.4,6.5,大阪
2017/4/2,10.2,18.5,51.1,2.5,7.3,大阪
2017/4/9,15.6,18,28.3,2.1,12.3,大阪
2017/4/16,15.3,8.5,45.3,2.8,10.6,大阪
2017/4/23,16.6,47,47.4,2.7,10.8,大阪
2017/4/30,17,19.5,63,2.4,10.6,大阪
2017/5/7,19.7,0,53.9,2.4,13,大阪
2017/5/14,20.4,62.5,42.7,2.5,14.7,大阪
2017/5/21,21.2,0,70.7,2.2,12.1,大阪
2017/5/28,21.9,33.5,51.6,2.2,16,大阪
2017/6/4,22.3,27.5,67.8,2.6,15.6,大阪
2017/6/11,21.4,28,49.2,2.5,15.1,大阪
2017/6/18,22.3,0,75.1,2.6,14.2,大阪
2017/6/25,24.1,102,38,2.1,20.3,大阪
2017/7/2,25.7,10,31.4,2,24.4,大阪
2017/7/9,27,41,36.3,2.1,27.3,大阪
2017/7/16,29.2,0.5,57.9,2.2,28.3,大阪
2017/7/23,29.5,0,42.1,2.4,27.5,大阪
2017/7/30,29.5,4,32.9,2.5,29.1,大阪
2017/8/6,30.2,0,55.9,2.9,28.2,大阪
2017/8/13,28.9,91.5,40.2,3.2,27.4,大阪
2017/8/20,28.5,5,41.8,2.3,27.2,大阪
2017/8/27,29.9,8,54.2,2.5,27.4,大阪
2017/9/3,27.4,0,57.1,3.1,21.3,大阪
2017/9/10,25.9,21.5,32.4,2.2,21.7,大阪
2017/9/17,24.2,73,23,3.1,21,大阪
2017/9/24,23.5,6,27.7,2.3,19.2,大阪
2017/10/1,22.9,27,53.3,2,17.7,大阪
2017/10/8,20.5,49.5,22,2.7,17.9,大阪
2017/10/15,21.3,24.5,27.7,2,19.4,大阪
2017/10/22,16.1,279,3.6,3,16.4,大阪
2017/10/29,16.6,77,30.4,2.9,13.7,大阪
2017/11/5,14.7,0,59.1,1.9,10.1,大阪
2017/11/12,14.9,19.5,43.4,1.9,11.3,大阪
2017/11/19,11.3,24.5,39.9,2,8.9,大阪
2017/11/26,9.3,12.5,32.8,2.1,7.4,大阪
2017/12/3,11.7,1.5,41.3,1.6,9.2,大阪
2017/12/10,7.3,3.5,37.7,2,6.5,大阪
2017/12/17,6.1,0,40,2.8,5.2,大阪
2017/12/24,6.7,23.5,49.6,1.6,6.2,大阪
2017/12/31,6.8,0.5,25.1,2.9,5.9,大阪
2018/1/1,6.5,0,26.2,2.7,5.5,大阪
2018/1/8,5.4,17,25.2,2,6.2,大阪
2018/1/15,4.3,3.5,43.5,2.8,4.9,大阪
2018/1/22,8.2,31,34.2,1.9,7.9,大阪
2018/1/29,2.5,0,46.7,2.9,4.3,大阪
2018/2/5,3.4,3,41.7,2.3,4.9,大阪
2018/2/12,3.3,24,53.4,2.9,4.4,大阪
2018/2/19,5.6,0,38.8,2.2,5.1,大阪
2018/2/26,7.2,1,52.4,2.1,5.8,大阪
2018/3/5,11.2,34,46.8,2.6,8.1,大阪
2018/3/12,8.3,26.5,45.6,3.2,6.7,大阪
2018/3/19,12.7,29.5,48.7,2.2,9.5,大阪
2018/3/26,10.6,47.5,44,2.9,7.9,大阪
2018/4/2,16,0,74.7,2.3,9.7,大阪
2018/4/9,14.6,15,45.3,2.9,10.6,大阪
2018/4/16,15.7,59.5,43.8,2.9,10.3,大阪
2018/4/23,18.5,9.5,65.9,2.2,12.2,大阪
2018/4/30,18.4,56,44.7,2,13.1,大阪
2018/5/7,18.9,69.5,49.1,2.6,13.9,大阪
2018/5/14,17.5,106,47.4,2.6,13.2,大阪
2018/5/21,21.3,12.5,54.7,2.6,16.3,大阪
2018/5/28,22.1,12.5,50.9,2,15.1,大阪
2018/6/4,21.8,30,46.7,2.2,17.5,大阪
2018/6/11,22.5,85.5,22.9,2.6,21.4,大阪
2018/6/18,21.7,5,47.7,3,17,大阪
2018/6/25,23.5,77,32.6,1.8,21.8,大阪
2018/7/2,28.2,24.5,48.7,2.9,26.8,大阪
2018/7/9,26.6,278.5,20.7,2.7,27.1,大阪
2018/7/16,30.2,0,60.6,2,27.8,大阪
2018/7/23,31.3,0,76.3,2.4,29.1,大阪
2018/7/30,29.8,53.5,49.2,3,27.4,大阪
2018/8/6,31.1,0,78.3,2.6,26.9,大阪
2018/8/13,29.6,0,43.3,2.5,27.3,大阪
2018/8/20,28,5.5,53.3,2.7,23.2,大阪
2018/8/27,30.3,36,59.1,3.7,28,大阪
2018/9/3,28.5,20,52.2,2.4,27.1,大阪
2018/9/10,25.6,151.5,15.5,2.6,25.9,大阪
2018/9/17,24.4,8.5,16.1,2.6,23.9,大阪
2018/9/24,23.8,63.5,31,2.1,20.4,大阪
2018/10/1,21,128.5,24.2,2.9,18.5,大阪
2018/10/8,23.2,7,42.8,2.9,19,大阪
2018/10/15,19.8,4.5,33.1,2.1,15.5,大阪
2018/10/22,18.5,0,53.5,2,13.1,大阪
2018/10/29,18,12.5,48.8,2.4,12.8,大阪
2018/11/5,15.7,0,45.8,2.2,10.9,大阪
2018/11/12,17.6,23.5,41.1,1.8,13.5,大阪
2018/11/19,14.3,1,22.8,1.9,10.6,大阪
2018/11/26,11.4,0.5,40.7,1.5,8.7,大阪
2018/12/3,13.7,6,34.5,1.9,10.7,大阪
2018/12/10,11.2,24.5,25.3,2.3,9.5,大阪
2018/12/17,7.8,38,28.1,2.1,7.3,大阪
2018/12/24,10.4,9,28.8,2.2,9,大阪
2018/12/31,6.2,0,38.9,2.2,5.7,大阪
2019/1/1,6,1.5,36.5,2.2,5.7,大阪
2019/1/8,6.8,0,37.4,1.7,6.1,大阪
2019/1/15,6.3,1,27.6,1.7,6.1,大阪
2019/1/22,7.3,2,37.2,2.3,6.1,大阪
2019/1/29,6,0,30,2.4,5.4,大阪
2019/2/5,7.1,23.5,38.8,2,6.6,大阪
2019/2/12,6.5,8.5,20.1,2.3,6.6,大阪
2019/2/19,6.6,12,27.7,1.9,6.2,大阪
2019/2/26,9.7,0,43.5,2.3,6.8,大阪
2019/3/5,10,37,28.7,2.3,7.6,大阪
2019/3/12,10.3,33,29.9,2.6,8.2,大阪
2019/3/19,8.7,12,38.3,2.3,6.7,大阪
2019/3/26,11.6,2,35.6,2.2,8.4,大阪
2019/4/2,11.4,11.5,44.2,2.7,7.5,大阪
2019/4/9,13.2,9,76,2.5,7.3,大阪
2019/4/16,12.5,35.5,48.5,2.5,8,大阪
2019/4/23,18,0,58.8,2.4,12.4,大阪
2019/4/30,16.6,38.5,13.4,2.5,13.3,大阪
2019/5/7,18.5,13,66.1,2.3,11.5,大阪
2019/5/14,20.2,0.5,64.2,2,11.7,大阪
2019/5/21,21.6,45.5,46.4,3.1,14.9,大阪
2019/5/28,23.7,29,70.2,2.1,14.2,大阪
2019/6/4,22.3,0.5,48.5,2,15.8,大阪
2019/6/11,22.9,38.5,34.6,2.5,19.3,大阪
2019/6/18,22.3,18,45.8,3,17.4,大阪
2019/6/25,24.6,2.5,60.7,2.5,19.4,大阪
2019/7/2,25.7,69.5,16.4,2.1,26.6,大阪
2019/7/9,25.1,17.5,24,2.7,23.6,大阪
2019/7/16,24.8,50.5,22.6,2.5,24.1,大阪
2019/7/23,26.8,108,15,1.9,29,大阪
2019/7/30,29.1,11,52.6,2.3,29.1,大阪
2019/8/6,31,0,66.1,2.5,29.6,大阪
2019/8/13,30.7,0,74.4,2.9,29,大阪
2019/8/20,29.5,155,39.5,3.2,29.7,大阪
2019/8/27,27.2,50.5,36.4,2.4,26.8,大阪
2019/9/3,27,28,29.4,2.2,27.6,大阪
2019/9/10,29.3,44,61,2.2,28.4,大阪
2019/9/17,26.8,24.5,51.2,3.1,23.3,大阪
2019/9/24,23.6,12.5,27.9,3.3,19.9,大阪
2019/10/1,26.1,0,46.4,2.3,22.3,大阪
2019/10/8,23.7,15,33,2.5,19.4,大阪
2019/10/15,20.8,80.5,29.6,3.5,16.8,大阪
2019/10/22,19.5,38,24,3.2,16.8,大阪
2019/10/29,18.6,80.5,25.1,2.1,16.4,大阪
2019/11/5,16.6,0,56.4,1.7,11.9,大阪
2019/11/12,15.3,0,57.4,2,10,大阪
2019/11/19,14.6,2,49.4,2.1,10.4,大阪
2019/11/26,13.7,0,27.3,2.2,10.6,大阪
2019/12/3,10.5,7,31.8,2.1,8.3,大阪
2019/12/10,8.8,0,36.7,1.8,7,大阪
2019/12/17,9.7,4,36.3,1.7,8.2,大阪
2019/12/24,9.5,17,22.1,1.8,8.3,大阪
2019/12/31,9.1,29.5,30.2,2.1,8.2,大阪
2020/1/1,8.7,29.5,27.8,2.2,8,大阪
2020/1/8,8.7,19,35.9,2.3,7,大阪
2020/1/15,8.6,2,35.7,2.2,6.9,大阪
2020/1/22,7.7,2,27.5,1.9,6.4,大阪
2020/1/29,10.1,38,11.5,3,8.9,大阪
2020/2/5,7.6,0,42.5,2.3,5.7,大阪
2020/2/12,5.5,2,34.2,2.1,5.2,大阪
2020/2/19,9.8,24.5,27.2,2.5,9,大阪
2020/2/26,9.3,27.5,34,1.9,7.1,大阪
2020/3/4,9,24.5,32.1,2.3,7.3,大阪
2020/3/11,10.8,27,38.3,2.5,8.4,大阪
2020/3/18,9.8,16,55.5,2.2,6.8,大阪
2020/3/25,12.9,0,64.4,2.5,7.6,大阪
2020/4/1,13,75,11.6,2.7,11.3,大阪
2020/4/8,12.6,0,66.3,2.6,7.1,大阪
2020/4/15,11.7,35.5,48.6,3,7.6,大阪
2020/4/22,15.1,49.5,31.9,2.9,10.6,大阪
2020/4/29,14.8,0,68.3,2.7,8.1,大阪
2020/5/6,20.4,1,54.7,2.3,15,大阪
2020/5/13,20,5.5,56.9,2.7,13.6,大阪
2020/5/20,20.1,75,35.6,2.4,15.5,大阪
2020/5/27,21.5,11,50,2.4,17.2,大阪
2020/6/3,22.8,4.5,59,2.3,15.8,大阪
2020/6/10,25,1.5,60.3,2.5,18.9,大阪
2020/6/17,25.4,54.5,30.1,2.5,24.5,大阪
2020/6/24,23.6,92.5,41.9,2.5,19.3,大阪
2020/7/1,26,43.5,25.2,2.6,24.4,大阪
2020/7/8,24.7,189.5,17.8,2.9,25.5,大阪
2020/7/15,24.7,102.5,6.9,2.5,26.1,大阪
2020/7/22,27.3,12.5,46.7,2.2,25.9,大阪
2020/7/29,26.6,79.5,9.3,2,28.8,大阪
2020/8/5,28.9,23,50.7,2,27.9,大阪
2020/8/12,30.7,0,59.1,2.8,28.8,大阪
2020/8/19,31.8,0,81.2,2.7,28.4,大阪
2020/8/26,30.8,16,73.7,2.3,28.6,大阪
2020/9/2,29.9,105,52.1,2.2,29.9,大阪
2020/9/9,28.3,23,32.5,2.7,27.1,大阪
2020/9/16,26.1,4,32,2.1,23.6,大阪
2020/9/23,25.1,0,31.7,3,19.6,大阪
2020/9/30,22.6,64.5,27.7,2.3,19.7,大阪
2020/10/7,21.9,7,41.2,2.4,16.5,大阪
2020/10/14,20.4,132,30.5,3,17.8,大阪
2020/10/21,16.8,27,40.3,2.2,13.1,大阪
2020/10/28,16.9,39,44.9,2.1,12.1,大阪
2020/11/4,15.3,25.5,47.2,2.2,10.6,大阪
2020/11/11,14.3,10,36.9,1.8,10.8,大阪
2020/11/18,15.7,0,52.5,1.7,11.9,大阪
2020/11/25,15.4,9,33.2,2.1,12.2,大阪
2020/12/2,11.8,2.5,45.6,1.7,8.9,大阪
2020/12/9,10.8,0,53.8,1.5,7.7,大阪
2020/12/16,9.4,0,35.8,2.7,7,大阪
2020/12/23,6.5,0,42.4,1.9,5.7,大阪
2020/12/30,8,18.5,31.4,2,7.2,大阪
2021/1/1,6.9,17,40,2.4,6.4,大阪
2021/1/8,4.9,1,38.8,2.8,4.7,大阪
2021/1/15,4.6,3.5,47.4,2.1,5.4,大阪
2021/1/22,6.4,7.5,37.1,2.2,6.2,大阪
2021/1/29,9,52.5,31.5,2.8,8.2,大阪
2021/2/5,7.1,19,44.2,2.5,5.8,大阪
2021/2/12,8.5,0,46.7,1.9,6.4,大阪
2021/2/19,8.8,24.5,46.2,3.1,7.1,大阪
2021/2/26,10,1.5,55.3,2.3,6.9,大阪
2021/3/5,10.1,43,36.9,2.7,7.9,大阪
2021/3/12,10.2,14.5,36.6,2.8,7.6,大阪
2021/3/19,12.1,11.5,53.2,2.7,7.9,大阪
2021/3/26,13,50,42.1,2.2,9.7,大阪
2021/4/2,16.2,26.5,54.7,2.5,10.5,大阪
2021/4/9,14.3,29.5,45.5,2.8,9.8,大阪
2021/4/16,14.8,12.5,44.6,2.5,9.6,大阪
2021/4/23,16.2,60,64.2,2.4,9.2,大阪
2021/4/30,16.3,122,49.7,2.4,11.7,大阪
2021/5/7,17.2,37.5,43.4,2.3,12.1,大阪
2021/5/14,19.8,10,48.8,2.8,14.5,大阪
2021/5/21,21.7,244,7.6,2.2,22,大阪
2021/5/28,20,48.5,31.2,2.1,15.7,大阪
2021/6/4,22.4,46.5,62.6,2.4,16.6,大阪
2021/6/11,24.3,0,60.4,2,17.8,大阪
2021/6/18,24,66,26.5,2.1,21.2,大阪
2021/6/25,24,25,42.9,2.1,20.2,大阪
2021/7/2,24.3,71.5,20.3,2.1,23.6,大阪
2021/7/9,27,132.5,9.5,1.9,28.9,大阪
2021/7/16,27,99,30.7,2.1,25.9,大阪
2021/7/23,28.9,0,75.9,2.6,26.1,大阪
2021/7/30,29.6,0,65,2.3,25.8,大阪
2021/8/6,29.9,5,58.1,2.3,27.9,大阪
2021/8/13,28,108,30.8,3,27.5,大阪
2021/8/20,25,198,10.4,2,26.7,大阪
2021/8/27,28.6,3.5,38.3,2.1,28.3,大阪
2021/9/3,28.1,78.5,39.9,2.4,26.4,大阪
2021/9/10,25.4,34.5,36.8,2.3,22.8,大阪
2021/9/17,24.2,44,12.4,1.9,23,大阪
2021/9/24,25.5,32.5,44.8,2.5,22.3,大阪
2021/10/1,24,2.5,29.4,2.7,20.5,大阪
2021/10/8,24.7,0,67.1,1.9,19.7,大阪
2021/10/15,24.4,1.5,44.5,2.4,20.5,大阪
2021/10/22,16.8,30.5,36.6,2.4,12.2,大阪
2021/10/29,15.8,35.5,42.3,2.2,11.6,大阪
2021/11/5,16.9,1,49.8,1.7,12.2,大阪
2021/11/12,15.3,45,25.1,2.9,11.4,大阪
2021/11/19,13.8,0,56,1.5,10.1,大阪
2021/11/26,13.4,33.5,40.8,2.4,9.2,大阪
2021/12/3,10,43,54.2,2.4,7.4,大阪
2021/12/10,10.6,32,30.4,1.9,8.8,大阪
2021/12/17,10.4,20,46.4,2.1,8.6,大阪
2021/12/24,8.2,6,40.4,2.2,6.8,大阪
2021/12/31,5.8,0.5,39.2,3.3,5.5,大阪
